system,date,equity,cash,positions
S-A_canslim,2006-01-03,100000.0,100000.0,0
S-A_canslim,2006-01-04,100000.0,100000.0,0
S-A_canslim,2006-01-05,100000.0,100000.0,0
S-A_canslim,2006-01-06,100000.0,100000.0,0
S-A_canslim,2006-01-09,100000.0,100000.0,0
S-A_canslim,2006-01-10,100000.0,100000.0,0
S-A_canslim,2006-01-11,100000.0,100000.0,0
S-A_canslim,2006-01-12,100000.0,100000.0,0
S-A_canslim,2006-01-13,100000.0,100000.0,0
S-A_canslim,2006-01-17,100000.0,100000.0,0
S-A_canslim,2006-01-18,100000.0,100000.0,0
S-A_canslim,2006-01-19,100000.0,100000.0,0
S-A_canslim,2006-01-20,100000.0,100000.0,0
S-A_canslim,2006-01-23,100000.0,100000.0,0
S-A_canslim,2006-01-24,100000.0,100000.0,0
S-A_canslim,2006-01-25,100000.0,100000.0,0
S-A_canslim,2006-01-26,100000.0,100000.0,0
S-A_canslim,2006-01-27,100000.0,100000.0,0
S-A_canslim,2006-01-30,100000.0,100000.0,0
S-A_canslim,2006-01-31,100000.0,100000.0,0
S-A_canslim,2006-02-01,100000.0,100000.0,0
S-A_canslim,2006-02-02,100000.0,100000.0,0
S-A_canslim,2006-02-03,100000.0,100000.0,0
S-A_canslim,2006-02-06,100000.0,100000.0,0
S-A_canslim,2006-02-07,100000.0,100000.0,0
S-A_canslim,2006-02-08,100000.0,100000.0,0
S-A_canslim,2006-02-09,100000.0,100000.0,0
S-A_canslim,2006-02-10,100000.0,100000.0,0
S-A_canslim,2006-02-13,100000.0,100000.0,0
S-A_canslim,2006-02-14,100000.0,100000.0,0
S-A_canslim,2006-02-15,100000.0,100000.0,0
S-A_canslim,2006-02-16,100000.0,100000.0,0
S-A_canslim,2006-02-17,100000.0,100000.0,0
S-A_canslim,2006-02-21,100000.0,100000.0,0
S-A_canslim,2006-02-22,100000.0,100000.0,0
S-A_canslim,2006-02-23,100000.0,100000.0,0
S-A_canslim,2006-02-24,100000.0,100000.0,0
S-A_canslim,2006-02-27,100000.0,100000.0,0
S-A_canslim,2006-02-28,100000.0,100000.0,0
S-A_canslim,2006-03-01,100000.0,100000.0,0
S-A_canslim,2006-03-02,100000.0,100000.0,0
S-A_canslim,2006-03-03,100000.0,100000.0,0
S-A_canslim,2006-03-06,100000.0,100000.0,0
S-A_canslim,2006-03-07,100000.0,100000.0,0
S-A_canslim,2006-03-08,100000.0,100000.0,0
S-A_canslim,2006-03-09,100000.0,100000.0,0
S-A_canslim,2006-03-10,100000.0,100000.0,0
S-A_canslim,2006-03-13,100000.0,100000.0,0
S-A_canslim,2006-03-14,100000.0,100000.0,0
S-A_canslim,2006-03-15,100000.0,100000.0,0
S-A_canslim,2006-03-16,100000.0,100000.0,0
S-A_canslim,2006-03-17,100000.0,100000.0,0
S-A_canslim,2006-03-20,99745.82718483687,80038.52918483687,2
S-A_canslim,2006-03-21,99255.53318483687,80038.52918483687,2
S-A_canslim,2006-03-22,99818.93918483687,80038.52918483687,2
S-A_canslim,2006-03-23,99957.65918483687,80038.52918483687,2
S-A_canslim,2006-03-24,99687.44318483687,80038.52918483687,2
S-A_canslim,2006-03-27,100108.41118483686,80038.52918483687,2
S-A_canslim,2006-03-28,100148.33918483686,80038.52918483687,2
S-A_canslim,2006-03-29,100085.58518483686,80038.52918483687,2
S-A_canslim,2006-03-30,99815.60718483687,80038.52918483687,2
S-A_canslim,2006-03-31,99911.19918483686,80038.52918483687,2
S-A_canslim,2006-04-03,100235.74718483686,80038.52918483687,2
S-A_canslim,2006-04-04,100283.35918483687,80038.52918483687,2
S-A_canslim,2006-04-05,100453.82718483686,80038.52918483687,2
