system,date,equity,cash,positions
S-B_minervini,2006-01-03,100000.0,100000.0,0
S-B_minervini,2006-01-04,100000.0,100000.0,0
S-B_minervini,2006-01-05,100000.0,100000.0,0
S-B_minervini,2006-01-06,100000.0,100000.0,0
S-B_minervini,2006-01-09,100000.0,100000.0,0
S-B_minervini,2006-01-10,100000.0,100000.0,0
S-B_minervini,2006-01-11,100000.0,100000.0,0
S-B_minervini,2006-01-12,100000.0,100000.0,0
S-B_minervini,2006-01-13,100000.0,100000.0,0
S-B_minervini,2006-01-17,100000.0,100000.0,0
S-B_minervini,2006-01-18,100000.0,100000.0,0
S-B_minervini,2006-01-19,100000.0,100000.0,0
S-B_minervini,2006-01-20,100000.0,100000.0,0
S-B_minervini,2006-01-23,100000.0,100000.0,0
S-B_minervini,2006-01-24,100000.0,100000.0,0
S-B_minervini,2006-01-25,100000.0,100000.0,0
S-B_minervini,2006-01-26,100000.0,100000.0,0
S-B_minervini,2006-01-27,100000.0,100000.0,0
S-B_minervini,2006-01-30,100000.0,100000.0,0
S-B_minervini,2006-01-31,100000.0,100000.0,0
S-B_minervini,2006-02-01,100000.0,100000.0,0
S-B_minervini,2006-02-02,100000.0,100000.0,0
S-B_minervini,2006-02-03,100000.0,100000.0,0
S-B_minervini,2006-02-06,100173.52386477751,20093.06186477751,8
S-B_minervini,2006-02-07,98765.9612394451,29343.05723944509,7
S-B_minervini,2006-02-08,99111.22523944509,29343.05723944509,7
S-B_minervini,2006-02-09,98451.9437380117,38606.6057380117,6
S-B_minervini,2006-02-10,98074.86430942811,47854.817309428116,5
S-B_minervini,2006-02-13,96810.42596720565,47297.27996720565,5
S-B_minervini,2006-02-14,97555.50696720564,47297.27996720565,5
S-B_minervini,2006-02-15,98046.17996720565,47297.27996720565,5
S-B_minervini,2006-02-16,97078.65179906625,56547.80879906626,4
S-B_minervini,2006-02-17,97048.93779906626,56547.80879906626,4
S-B_minervini,2006-02-21,96631.10797629156,37164.613976291555,6
S-B_minervini,2006-02-22,97243.80197629155,37164.613976291555,6
S-B_minervini,2006-02-23,97876.94597629156,37164.613976291555,6
S-B_minervini,2006-02-24,98164.67097629156,37164.613976291555,6
S-B_minervini,2006-02-27,98294.92869142051,17547.977691420518,8
S-B_minervini,2006-02-28,97834.59369142051,17547.977691420518,8
S-B_minervini,2006-03-01,97847.55969142051,17547.977691420518,8
S-B_minervini,2006-03-02,97707.97169142052,17547.977691420518,8
S-B_minervini,2006-03-03,97837.84369142051,17547.977691420518,8
S-B_minervini,2006-03-06,98803.89473988353,7785.664739883539,9
S-B_minervini,2006-03-07,98074.12168011874,13294.234680118734,9
S-B_minervini,2006-03-08,97798.18959635339,18180.606596353384,8
S-B_minervini,2006-03-09,97504.69859635338,18180.606596353384,8
S-B_minervini,2006-03-10,97928.58459635338,18180.606596353384,8
S-B_minervini,2006-03-13,97709.70179415338,9102.220794153385,9
S-B_minervini,2006-03-14,98249.82679415338,9102.220794153385,9
S-B_minervini,2006-03-15,98736.10179415338,9102.220794153385,9
S-B_minervini,2006-03-16,99245.53379415338,9102.220794153385,9
S-B_minervini,2006-03-17,99900.31165995577,14662.60165995577,9
S-B_minervini,2006-03-20,99694.62493807575,4680.7879380757695,10
S-B_minervini,2006-03-21,97853.00193807576,4680.7879380757695,10
S-B_minervini,2006-03-22,99412.85493807576,4680.7879380757695,10
S-B_minervini,2006-03-23,99936.93995041367,10145.27395041367,10
S-B_minervini,2006-03-24,100414.70195041367,10145.27395041367,10
S-B_minervini,2006-03-27,100271.53595041366,10145.27395041367,10
S-B_minervini,2006-03-28,101338.64876826658,15700.14276826657,10
S-B_minervini,2006-03-29,102312.92440026655,23316.886400266572,9
S-B_minervini,2006-03-30,102043.80734575156,28189.57834575157,8
S-B_minervini,2006-03-31,102693.3957186853,33695.9927186853,8
S-B_minervini,2006-04-03,102881.888146504,18875.053146504015,10
S-B_minervini,2006-04-04,103072.19067235546,28353.737672355466,9
S-B_minervini,2006-04-05,103103.72511303046,38472.49311303047,8
S-B_minervini,2006-04-06,101687.3671249156,47970.94812491561,7
S-B_minervini,2006-04-07,101266.3961249156,47970.94812491561,7
S-B_minervini,2006-04-10,100323.9274993914,17714.271499391405,10
S-B_minervini,2006-04-11,98834.80901799403,26788.98501799404,9
S-B_minervini,2006-04-12,99747.63486449404,32746.674864494038,8
S-B_minervini,2006-04-13,100176.80886449404,32746.674864494038,8
S-B_minervini,2006-04-17,100370.36808524404,12745.164085244041,10
S-B_minervini,2006-04-18,102619.61208524405,12745.164085244041,10
S-B_minervini,2006-04-19,102250.82408524405,12745.164085244041,10
S-B_minervini,2006-04-20,99072.78218356204,31362.907183562045,8
S-B_minervini,2006-04-21,99485.86018356205,31362.907183562045,8
S-B_minervini,2006-04-24,99873.22512301581,17113.131123015814,10
S-B_minervini,2006-04-25,101235.67712301582,17113.131123015814,10
S-B_minervini,2006-04-26,100746.9021230158,17113.131123015814,10
S-B_minervini,2006-04-27,99903.68537464783,31957.021374647826,8
S-B_minervini,2006-04-28,99420.02567856119,41166.48167856118,7
S-B_minervini,2006-05-01,100243.83951078636,11372.638510786355,10
