system,date,equity,cash,positions
S-C_weinstein,2006-01-03,100000.0,100000.0,0
S-C_weinstein,2006-01-04,100000.0,100000.0,0
S-C_weinstein,2006-01-05,100000.0,100000.0,0
S-C_weinstein,2006-01-06,100000.0,100000.0,0
S-C_weinstein,2006-01-09,100000.0,100000.0,0
S-C_weinstein,2006-01-10,100000.0,100000.0,0
S-C_weinstein,2006-01-11,100000.0,100000.0,0
S-C_weinstein,2006-01-12,100000.0,100000.0,0
S-C_weinstein,2006-01-13,100000.0,100000.0,0
S-C_weinstein,2006-01-17,100000.0,100000.0,0
S-C_weinstein,2006-01-18,100000.0,100000.0,0
S-C_weinstein,2006-01-19,100000.0,100000.0,0
S-C_weinstein,2006-01-20,100000.0,100000.0,0
S-C_weinstein,2006-01-23,100000.0,100000.0,0
S-C_weinstein,2006-01-24,100000.0,100000.0,0
S-C_weinstein,2006-01-25,100000.0,100000.0,0
S-C_weinstein,2006-01-26,100000.0,100000.0,0
S-C_weinstein,2006-01-27,100000.0,100000.0,0
S-C_weinstein,2006-01-30,100000.0,100000.0,0
S-C_weinstein,2006-01-31,100000.0,100000.0,0
S-C_weinstein,2006-02-01,100000.0,100000.0,0
S-C_weinstein,2006-02-02,100000.0,100000.0,0
S-C_weinstein,2006-02-03,100000.0,100000.0,0
S-C_weinstein,2006-02-06,100558.4379363,90011.6579363,1
S-C_weinstein,2006-02-07,100160.5779363,90011.6579363,1
S-C_weinstein,2006-02-08,100097.75793630001,90011.6579363,1
S-C_weinstein,2006-02-09,100048.89793630001,90011.6579363,1
S-C_weinstein,2006-02-10,100104.73793630001,90011.6579363,1
S-C_weinstein,2006-02-13,100104.73793630001,90011.6579363,1
S-C_weinstein,2006-02-14,100251.31793630001,90011.6579363,1
S-C_weinstein,2006-02-15,100230.3779363,90011.6579363,1
S-C_weinstein,2006-02-16,102024.23793630001,90011.6579363,1
S-C_weinstein,2006-02-17,102498.8779363,90011.6579363,1
S-C_weinstein,2006-02-21,102282.4979363,90011.6579363,1
S-C_weinstein,2006-02-22,102408.1379363,90011.6579363,1
S-C_weinstein,2006-02-23,102156.8579363,90011.6579363,1
S-C_weinstein,2006-02-24,102156.8579363,90011.6579363,1
S-C_weinstein,2006-02-27,102575.6579363,90011.6579363,1
S-C_weinstein,2006-02-28,102540.75793630001,90011.6579363,1
S-C_weinstein,2006-03-01,102785.0579363,90011.6579363,1
S-C_weinstein,2006-03-02,102750.1579363,90011.6579363,1
S-C_weinstein,2006-03-03,102757.1379363,90011.6579363,1
S-C_weinstein,2006-03-06,102868.81793630001,90011.6579363,1
S-C_weinstein,2006-03-07,102575.6579363,90011.6579363,1
S-C_weinstein,2006-03-08,102352.2979363,90011.6579363,1
S-C_weinstein,2006-03-09,101912.5579363,90011.6579363,1
S-C_weinstein,2006-03-10,102135.9179363,90011.6579363,1
S-C_weinstein,2006-03-13,102282.4979363,90011.6579363,1
S-C_weinstein,2006-03-14,102324.3779363,90011.6579363,1
S-C_weinstein,2006-03-15,102882.7779363,90011.6579363,1
S-C_weinstein,2006-03-16,103943.73793630001,90011.6579363,1
S-C_weinstein,2006-03-17,102903.7179363,90011.6579363,1
S-C_weinstein,2006-03-20,102508.59152855,79752.75152855,2
S-C_weinstein,2006-03-21,102572.43152854999,79752.75152855,2
S-C_weinstein,2006-03-22,102826.47152855,79752.75152855,2
S-C_weinstein,2006-03-23,103241.39152855,79752.75152855,2
S-C_weinstein,2006-03-24,103178.91152855,79752.75152855,2
S-C_weinstein,2006-03-27,103441.0640058,69447.6840058,3
S-C_weinstein,2006-03-28,104190.38400579999,69447.6840058,3
S-C_weinstein,2006-03-29,105124.10400579999,69447.6840058,3
S-C_weinstein,2006-03-30,104827.9440058,69447.6840058,3
S-C_weinstein,2006-03-31,104909.7640058,69447.6840058,3
S-C_weinstein,2006-04-03,103748.20790958227,58956.81290958227,4
S-C_weinstein,2006-04-04,104612.10490958227,58956.81290958227,4
S-C_weinstein,2006-04-05,104586.51890958227,58956.81290958227,4
S-C_weinstein,2006-04-06,104238.98090958229,58956.81290958227,4
S-C_weinstein,2006-04-07,103651.27890958227,58956.81290958227,4
S-C_weinstein,2006-04-10,103269.51090958228,58956.81290958227,4
