week_end,cal_week_end,close,sma30,sma30_4w_ago,base_high,vol_x_26w,rs26,rs26_prev,spy_above_30w,entry
2010-09-03,2010-09-03,9.24,8.73,8.48,9.79,0.76,0.218,0.224,False,False
2011-07-01,2011-07-01,12.26,12.09,12.01,12.86,0.79,-0.001,-0.001,True,False
2011-12-02,2011-12-02,13.92,13.23,13.06,15.07,0.71,0.185,0.237,True,False
2013-08-02,2013-08-02,16.52,15.78,16.15,16.96,0.68,-0.098,-0.109,True,False
2014-02-07,2014-02-07,18.56,18.15,17.61,20.0,0.99,0.078,0.038,True,False
2014-04-25,2014-04-25,20.43,18.96,18.68,20.0,1.3,0.027,-0.035,True,False
2015-07-17,2015-07-17,32.41,30.99,30.57,33.14,0.78,0.161,0.083,True,False
2016-04-01,2016-04-01,27.5,26.98,27.15,30.27,0.7,-0.061,-0.125,True,False
2016-07-29,2016-07-29,26.05,24.81,25.09,27.5,1.39,-0.045,-0.147,True,False
2018-02-16,2018-02-16,43.11,41.19,40.58,44.62,1.51,-0.027,-0.073,True,False
2018-04-06,2018-04-06,42.1,42.09,41.76,45.0,1.07,0.062,0.039,False,False
2018-05-04,2018-05-04,45.96,42.63,42.09,45.0,1.57,0.035,-0.038,False,False
2019-03-22,2019-03-22,47.76,46.8,47.83,56.44,1.04,-0.082,-0.14,True,False
2019-06-07,2019-06-07,47.54,44.52,45.47,52.94,0.98,0.034,-0.018,True,False
