rows_,k300,k200,k500,bucket_type,bucket
30752,86,198,21,year,2006
31216,5,24,0,year,2007
27861,164,491,22,year,2008
24501,561,1540,113,year,2009
26486,101,362,34,year,2010
26564,126,439,41,year,2011
25569,180,604,46,year,2012
27212,111,389,23,year,2013
28980,35,125,3,year,2014
29363,76,239,17,year,2015
28677,274,737,60,year,2016
29081,107,376,16,year,2017
29085,176,477,47,year,2018
28082,601,1407,186,year,2019
393429,2603,7408,629,year,overall
304121,1644,4573,416,drawdown,0-10
38904,168,543,54,drawdown,10-20
28427,137,491,36,drawdown,20-30
21977,654,1801,123,drawdown,>30
297665,2240,6276,515,mst,0-12
33927,125,393,43,mst,13-24
61837,238,739,71,mst,>24
