flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes
h1_eps_accel,0,all,ALL,393429,251913,25537,905,65,launch_300,0.6403010454236978,0.10137229916677583,0.003592510112618245,0.0025453263891608256,0.7085091786438354,0.5560705980488164,0.9026007796759478,65,False,False
h1_eps_accel,0,drawdown,0-10,304121,193385,19332,373,20,launch_300,0.6358817707425662,0.09996638829278383,0.0019287948910205032,0.0010345541071798054,0.5363733137184092,0.3472851715899632,0.8282506667767161,20,False,False
h1_eps_accel,0,drawdown,10-20,38904,24907,2924,41,3,launch_300,0.6402169442730825,0.11739671578271169,0.0016461235797165456,0.0010259917920656635,0.6232775015848654,0.21200703056576953,1.8299635940596655,3,False,False
h1_eps_accel,0,drawdown,20-30,28427,17195,2142,43,10,launch_300,0.6048826819572941,0.12457109624890957,0.0025007269555103228,0.004668534080298786,1.8668707793194796,1.0148442272471192,3.428080132518071,10,False,False
h1_eps_accel,0,drawdown,>30,21977,16426,1139,448,32,launch_300,0.747417754925604,0.06934128820163156,0.02727383416534762,0.028094820017559263,1.0301015928759563,0.7322143682573988,1.4443073050671145,32,False,False
h1_eps_accel,0,mst,0-12,297665,191940,18559,813,54,launch_300,0.6448188399711084,0.09669167448160884,0.004235698655829947,0.00290963952799181,0.6869326088594686,0.5266826845573825,0.8957552074604408,54,False,False
h1_eps_accel,0,mst,13-24,33927,18435,2497,15,2,launch_300,0.5433725351489964,0.13544887442365067,0.0008136696501220504,0.0008009611533840609,0.9843812575090108,0.26998662593763856,3.5835775137994643,2,False,False
h1_eps_accel,0,mst,>24,61837,41538,4481,77,9,launch_300,0.6717337516373693,0.10787712456064327,0.0018537243006403776,0.002008480249944209,1.083483800288085,0.570228979703773,2.056948453634687,9,False,False
h1_eps_accel,3,all,ALL,393429,249364,25664,885,89,launch_300,0.6338221127573209,0.10291782294156333,0.0035490287290867967,0.0034678927680798005,0.977138544880736,0.7943594018704738,1.2017946007227427,89,False,False
h1_eps_accel,3,drawdown,0-10,304121,190828,19460,368,42,launch_300,0.6274739330726915,0.10197664912905863,0.0019284381746913451,0.002158273381294964,1.1191820456678134,0.8282409564621432,1.5120252504174794,42,False,False
h1_eps_accel,3,drawdown,10-20,38904,24419,2924,40,9,launch_300,0.6276732469668929,0.11974282321143372,0.0016380687169826773,0.0030779753761969904,1.8790270177838577,0.9890901713277283,3.5650036202308693,9,False,False
h1_eps_accel,3,drawdown,20-30,28427,17750,1981,39,2,launch_300,0.6244063742216907,0.1116056338028169,0.002197183098591549,0.0010095911155981827,0.4594933923555832,0.12602953808883322,1.672033017618952,2,False,False
h1_eps_accel,3,drawdown,>30,21977,16367,1299,438,36,launch_300,0.7447331300905492,0.07936701900164966,0.026761165760371478,0.02771362586605081,1.0355911291087982,0.7505127202978624,1.4247418018992164,36,False,False
h1_eps_accel,3,mst,0-12,297665,190693,18449,795,72,launch_300,0.6406295667948869,0.09674712758202976,0.004169004630479357,0.0039026505501653205,0.9361108696385856,0.7436841175762418,1.1780823513935834,72,False,False
h1_eps_accel,3,mst,13-24,33927,18565,2638,15,1,launch_300,0.5472042915671884,0.1420953406948559,0.0008079719903043361,0.0003790750568612585,0.46916856204195095,0.08282365000726985,2.6538201095109524,1,False,False
h1_eps_accel,3,mst,>24,61837,40106,4577,75,16,launch_300,0.6485760952180734,0.11412257517578417,0.0018700443823866752,0.0034957395674022284,1.869335081203117,1.151284550127383,3.03268488808235,16,False,False
h1_eps_accel,6,all,ALL,393429,247299,25665,863,118,launch_300,0.6285733893536064,0.10378125265367025,0.003489702748494737,0.004597701149425287,1.3175050944979423,1.1006488285214782,1.5768516312779761,118,True,False
h1_eps_accel,6,drawdown,0-10,304121,188501,19715,374,55,launch_300,0.6198223733316673,0.10458830457132853,0.0019840743550432094,0.002789753994420492,1.4060733093643238,1.080650963842048,1.8291354625287546,55,False,False
h1_eps_accel,6,drawdown,10-20,38904,23921,2583,33,11,launch_300,0.6148725066831174,0.10798043560051837,0.001379540989089085,0.004258614014711576,3.0869789650277455,1.7249429099388316,5.516291502236617,11,False,False
h1_eps_accel,6,drawdown,20-30,28427,18683,1816,35,1,launch_300,0.6572272839202167,0.09720066370497243,0.0018733608092918695,0.0005506607929515419,0.29394273127753306,0.05189163999116084,1.6615382500788376,1,False,False
h1_eps_accel,6,drawdown,>30,21977,16194,1551,421,51,launch_300,0.7368612640487783,0.09577621341237495,0.025997282944300357,0.03288201160541586,1.2648249309693693,0.9653853644316434,1.6530493143989304,51,False,False
h1_eps_accel,6,mst,0-12,297665,189677,18679,780,106,launch_300,0.6372163337980615,0.09847793881176949,0.004112253989677188,0.005674821992612024,1.3799784757598343,1.141600273017331,1.6677895748217768,106,True,False
h1_eps_accel,6,mst,13-24,33927,19400,2548,16,1,launch_300,0.5718159577917293,0.13134020618556702,0.0008247422680412372,0.0003924646781789639,0.47586342229199374,0.08400565157018146,2.6915464380476513,1,False,False
h1_eps_accel,6,mst,>24,61837,38222,4438,67,11,launch_300,0.6181088992027427,0.11611114018104757,0.0017529171681230705,0.0024785939612438036,1.41398236398001,0.7898824626757439,2.529005410320969,11,False,False
h1_eps_accel,12,all,ALL,393429,242913,25231,818,116,launch_300,0.6174252533493972,0.1038684631946417,0.003367460778138675,0.004597518925131782,1.3652776462842746,1.138803015347639,1.636542295039213,116,True,False
h1_eps_accel,12,drawdown,0-10,304121,184151,19738,357,47,launch_300,0.6055188559816652,0.10718377852957627,0.0019386264532910492,0.002381193636639984,1.228289045884845,0.9239941032326919,1.6324783960266762,47,False,False
h1_eps_accel,12,drawdown,10-20,38904,24012,2371,25,2,launch_300,0.6172115977791487,0.09874229551890722,0.0010411460936198568,0.0008435259384226065,0.8101897933361449,0.2222125440566364,2.9491841814557413,2,False,False
h1_eps_accel,12,drawdown,20-30,28427,19139,1539,31,1,launch_300,0.6732683716185317,0.08041172475050944,0.0016197293484508071,0.000649772579597141,0.4011612064809575,0.07082048870457588,2.266711549269159,1,False,False
h1_eps_accel,12,drawdown,>30,21977,15611,1583,405,66,launch_300,0.7103335305091687,0.10140285695983602,0.025943245147652297,0.041692987997473153,1.607084532416181,1.2683568298205572,2.031343490776422,66,False,False
h1_eps_accel,12,mst,0-12,297665,186192,18846,766,113,launch_300,0.6255085414811953,0.10121809744779582,0.00411403282632981,0.00599596731401889,1.4574427495193278,1.212912243780418,1.750915200217582,113,True,False
