flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
h9_rs6_top_decile,0,all,ALL,393429,393051,39379,2590,482,launch_300,0.9990392167328793,0.10018801631340463,0.0065894756660077195,0.01224002641001549,1.857511436479922,1.6997721841580467,2.0296909296669194,482,True,False,build,
h9_rs6_top_decile,0,drawdown,0-10,304121,303819,30441,1631,345,launch_300,0.99900697419777,0.10019452371313183,0.005368327853096745,0.0113333990341973,2.1111600007178355,1.9008564814988982,2.3444348474524404,345,True,True,build,
h9_rs6_top_decile,0,drawdown,10-20,38904,38871,3895,168,40,launch_300,0.9991517581739667,0.10020323634586195,0.004321988114532685,0.010269576379974325,2.3761232349165593,1.7471013706499872,3.228432452216975,40,False,False,build,
h9_rs6_top_decile,0,drawdown,20-30,28427,28392,2843,137,41,launch_300,0.9987687761635066,0.1001338405184559,0.004825302902225979,0.014421385860007034,2.988700637498684,2.206796005307285,4.042185325444293,41,False,False,build,
h9_rs6_top_decile,0,drawdown,>30,21977,21969,2200,654,56,launch_300,0.9996359830732129,0.10014110792480313,0.02976922026491875,0.025454545454545455,0.8550625521267723,0.6602187490282347,1.105478376606569,56,False,False,build,
h9_rs6_top_decile,0,mst,0-12,297665,297362,29793,2230,399,launch_300,0.9989820771672854,0.10019101297408546,0.007499276975538233,0.013392407612526433,1.7858265078368094,1.619952529429633,1.9684312374539341,399,True,False,build,
h9_rs6_top_decile,0,mst,13-24,33927,33898,3395,125,37,launch_300,0.9991452235682495,0.10015340138061242,0.00368753318779869,0.010898379970544918,2.9554662739322533,2.1470183121733,4.063732745398349,37,False,False,build,
h9_rs6_top_decile,0,mst,>24,61837,61791,6191,235,46,launch_300,0.9992561088021734,0.10019258468061693,0.0038031428525189754,0.007430140526570829,1.95368431181846,1.4659898813252437,2.602006716992606,46,False,False,build,
h9_rs6_top_decile,3,all,ALL,393429,362119,34290,2235,428,launch_300,0.9204176611281832,0.09469262866626717,0.006172004230653459,0.012481773111694372,2.022320893706333,1.840581991645367,2.2217557787118043,428,True,True,build,
h9_rs6_top_decile,3,drawdown,0-10,304121,278398,26429,1395,315,launch_300,0.9154185340703207,0.09493243485944583,0.0050108118592805985,0.011918725642286881,2.378601707069092,2.13129065446473,2.6542244880311863,315,True,True,build,
h9_rs6_top_decile,3,drawdown,10-20,38904,36564,3451,155,48,launch_300,0.9398519432449105,0.09438245268570178,0.004239142325784925,0.013909011880614315,3.281091034856657,2.478590472386222,4.33859010194379,48,False,False,build,
h9_rs6_top_decile,3,drawdown,20-30,28427,26790,2467,123,30,launch_300,0.9424139022760052,0.09208659947741694,0.004591265397536394,0.012160518848804215,2.6486203248736984,1.8581625543288454,3.7694673027452548,30,False,False,build,
h9_rs6_top_decile,3,drawdown,>30,21977,20367,1943,562,35,launch_300,0.926741593484097,0.09539942063141356,0.027593656404968823,0.018013381369016986,0.6528087870867775,0.47041483039967125,0.9041348148782905,35,False,False,build,
h9_rs6_top_decile,3,mst,0-12,297665,279698,26533,1935,363,launch_300,0.939640199553189,0.09486303084040644,0.006918176032721006,0.013681076395432104,1.9775554034364695,1.785452327302583,2.1900104524598083,363,True,False,build,
h9_rs6_top_decile,3,mst,13-24,33927,31662,2961,110,33,launch_300,0.9332390131753471,0.09351904491188175,0.003474196197334344,0.011144883485309016,3.20790273556231,2.287373214323483,4.493060692262589,33,False,False,build,
h9_rs6_top_decile,3,mst,>24,61837,50759,4796,190,32,launch_300,0.8208515937060336,0.09448570696822238,0.0037431785496168167,0.006672226855713094,1.7825029629954787,1.2637216421184598,2.5122414653207934,32,False,False,build,
h9_rs6_top_decile,6,all,ALL,393429,345162,31894,2071,432,launch_300,0.877317127105526,0.09240298758264236,0.006000081121328536,0.013544867373173638,2.2574473743405887,2.0555705901238706,2.4788518344046864,432,True,True,build,
h9_rs6_top_decile,6,drawdown,0-10,304121,263487,24336,1255,285,launch_300,0.8663887071264398,0.09236129296701545,0.0047630433380014955,0.01171104536489152,2.4587316414814118,2.1906948133397375,2.7591278954322487,285,True,True,build,
h9_rs6_top_decile,6,drawdown,10-20,38904,35969,3295,146,45,launch_300,0.9245578860785524,0.09160666129166782,0.004059050849342489,0.013657056145675266,3.3645935102999562,2.518450730821931,4.4897868301648,45,False,False,build,
h9_rs6_top_decile,6,drawdown,20-30,28427,25700,2417,104,31,launch_300,0.9040700742252085,0.09404669260700389,0.004046692607003891,0.012825817128671908,3.1694567327583467,2.236485069485424,4.484499229341103,31,False,False,build,
h9_rs6_top_decile,6,drawdown,>30,21977,20006,1846,566,71,launch_300,0.9103153296628294,0.09227231830450865,0.02829151254623613,0.038461538461538464,1.3594726827942376,1.0817461337443215,1.7049545528566794,71,False,False,build,
h9_rs6_top_decile,6,mst,0-12,297665,271774,25175,1832,370,launch_300,0.9130196697629885,0.09263211344720246,0.006740895008352528,0.014697120158887786,2.180292103745398,1.9705000115042346,2.4120519545524264,370,True,True,build,
h9_rs6_top_decile,6,mst,13-24,33927,30989,2835,91,32,launch_300,0.9134023049488608,0.09148407499435283,0.0029365258640162636,0.011287477954144622,3.843820377153711,2.7266408841990875,5.411406403959586,32,False,False,build,
h9_rs6_top_decile,6,mst,>24,61837,42399,3884,148,30,launch_300,0.6856574542749486,0.09160593410221939,0.003490648364348216,0.007723995880535531,2.2127682522893646,1.5515321102933717,3.152693635354181,30,False,False,build,
h9_rs6_top_decile,12,all,ALL,393429,317257,28710,1848,401,launch_300,0.8063894629018197,0.0904944571750978,0.005824930576787904,0.013967258794845002,2.397841246469773,2.175706396937743,2.6423020311504857,401,True,True,build,
h9_rs6_top_decile,12,drawdown,0-10,304121,239038,21535,1084,260,launch_300,0.7859963632896118,0.09009027853312025,0.004534843832361382,0.012073368934293012,2.662356054719126,2.3593476846904213,3.0037436348265545,260,True,True,build,
