year,tickers,any_event,t11,t12,t21,t22,t23,t32,t52,t53,t71,t81
2004,3220,3043,1693,244,2621,2616,479,176,1133,260,1516,2254
2005,3220,3193,2806,689,652,2918,1022,389,2185,715,1649,2404
2006,3220,3209,2838,637,657,2940,957,373,2316,775,1613,2458
2007,3233,3226,2286,461,693,2937,1018,387,2709,1403,1601,2484
2008,2865,2855,1852,336,493,2621,811,360,2444,1043,1491,2132
2009,2547,2542,1575,301,320,2347,692,274,2099,800,1284,1918
2010,2687,2678,1784,429,499,2489,889,273,2196,724,1425,2030
2011,2680,2674,1896,549,526,2473,1133,258,2212,741,1434,1993
2012,2585,2579,1715,436,507,2407,1029,243,2143,711,1427,2004
2013,2728,2718,1813,370,550,2546,1074,287,2262,780,1544,2057
2014,2889,2883,1934,439,633,2696,1156,316,2448,833,1711,2193
2015,2911,2906,1981,466,663,2718,1173,278,2482,867,1728,2211
2016,2885,2883,1891,437,624,2720,1145,284,2419,945,1766,2169
2017,2914,2912,1947,455,655,2732,1163,320,2465,852,1845,2209
2018,2877,2875,1918,482,648,2712,1190,347,2404,777,1881,2223
2019,2809,2808,1841,390,580,2633,1092,325,2407,732,1859,2084
2020,2970,2968,2046,413,489,2755,1411,512,2547,1000,2138,2430
2021,3481,3479,2534,604,751,3228,1511,658,2987,1018,2461,2781
2022,3161,3160,1973,430,506,2980,1219,380,2676,966,2156,2278
2023,2967,2966,1769,386,427,2814,1060,377,2483,1146,2187,2120
2024,2926,2925,1843,366,401,2807,1123,451,2427,878,2171,2159
2025,2991,2989,1985,465,475,2851,1241,503,2513,835,2292,2286
2026,2817,2815,1554,314,407,2707,923,338,2145,558,2021,1926
