label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
launch_300,price_return,-24,0.264935064935065,1.0947849108956382,3775,4301,-0.08766461671952563,0.18102855046731225,4301,0.8777028598000465
launch_300,price_return,-21,0.24035824373194825,1.0357019115040855,3889,4301,-0.0676296647365493,0.14649326383240982,4301,0.9042083236456638
launch_300,price_return,-18,0.2014585232452144,0.9305495571942382,4007,4301,-0.029198181988928096,0.16262438624289438,4301,0.931643803766566
launch_300,price_return,-15,0.1738335829611506,0.8209817499389019,4106,4301,-0.010696282504014831,0.1530465561373816,4301,0.9546617065798652
launch_300,price_return,-12,0.13343108504398837,0.6606245529170598,4199,4301,-0.003655196274807926,0.131558133592406,4301,0.9762845849802372
launch_300,price_return,-9,0.11509933774834424,0.5400029622609751,4261,4301,-0.014998245551412048,0.07257712019391153,4301,0.9906998372471518
launch_300,price_return,-6,0.053264146456442174,0.3479244645695714,4282,4301,-0.016252345048823724,0.040841133484582196,4301,0.9955824226923972
launch_300,price_return,-3,0.020094658999537662,0.14907165430394767,4292,4301,-0.015548935512686046,0.007878098372224729,4301,0.9979074633806092
launch_300,price_return,0,0.0,0.0,4301,4301,0.0,0.0,4301,1.0
launch_300,price_return,3,0.2448401934190354,0.34490982581931606,4301,4301,0.04905163036551807,0.05433811714442344,4301,1.0
launch_300,price_return,6,0.5685425685425685,0.7547573202016007,4295,4301,0.08379485901717065,0.09551891843653743,4301,0.9986049755870727
launch_300,price_return,9,0.9653561271886877,1.2224880632844823,4280,4301,0.11181847043293724,0.13273265621673,4301,0.9951174145547547
launch_300,price_return,12,1.403005700466402,1.7368980317560978,4243,4301,0.11918595619077199,0.16414239660054972,4301,0.9865147640083701
launch_300,price_return,15,1.8927157246270112,2.35246512866653,4196,4301,0.16483138334480385,0.2380033443498901,4301,0.9755870727737735
launch_300,price_return,18,2.518069634200088,3.078991469809996,4129,4301,0.19886868182084538,0.26444507771922593,4301,0.9600093001627529
launch_300,price_return,21,3.27945205479452,3.953552200569106,4061,4301,0.2371526744571698,0.3206396710775537,4301,0.944199023482911
launch_300,price_return,24,3.9918577826027963,4.9225208034975605,3977,4301,0.26017981862907946,0.39563283929086024,4301,0.9246686817019297
launch_300,rev_growth_yoy,-24,0.12281420492016237,0.8912013380752603,3129,4301,0.0975654069767442,0.5397614336017459,4301,0.7275052313415484
launch_300,rev_growth_yoy,-21,0.11854103343465039,0.8700639840921242,3212,4301,0.09723770422265665,0.569255782237007,4301,0.7468030690537084
launch_300,rev_growth_yoy,-18,0.128511171280691,0.8964496441385968,3309,4301,0.09902418911489819,0.5145713008625038,4301,0.7693559637293652
launch_300,rev_growth_yoy,-15,0.11787988973461694,0.948231756402334,3404,4301,0.0999259621779669,0.49238159721555785,4301,0.7914438502673797
launch_300,rev_growth_yoy,-12,0.10689773272141934,0.8426309736256822,3511,4301,0.0961697091590108,0.5050447760765707,4301,0.8163217856312486
launch_300,rev_growth_yoy,-9,0.1002243250908903,0.6874034383895445,3618,4301,0.08974727856903075,0.49718341389999215,4301,0.8411997209951174
