label,k,silhouette,inertia,smallest_cluster,largest_cluster,sizes
launch_300,2,0.08288921963095282,202160.7371084681,2092,2209,2209/2092
launch_300,3,0.07213601899212384,192428.35895712575,985,1935,1381/1935/985
launch_300,4,0.07398589376044895,184580.25360134663,22,1912,1361/1006/22/1912
launch_300,5,0.0506887630137658,182824.80311886917,318,1357,318/641/793/1192/1357
launch_300,6,0.04459149857844818,178570.31129447202,253,1211,655/1211/536/1034/253/612
win_100,2,0.08540739312155737,999615.401717324,9750,10617,9750/10617
win_100,3,0.06951885870094375,959543.8830650097,5934,7655,7655/5934/6778
win_100,4,0.06971180952231096,918926.448162386,5,7798,6047/6517/7798/5
win_100,5,0.060228999267247306,894983.814874936,5,5903,4089/5741/4629/5903/5
win_100,6,0.04976773555826819,877239.1728858862,5,5403,4225/3882/1631/5/5221/5403
